date,coawst_pred
2018-01-01,
2018-01-02,
2018-01-03,57.76001864
2018-01-04,58.29168606375
2018-01-05,58.35441145441666
2018-01-06,58.071309133611116
2018-01-07,58.207404453928575
2018-01-08,58.84046837970238
2018-01-09,59.40981024184524
2018-01-10,60.0750067339881
2018-01-11,60.7240104357738
2018-01-12,61.72522613315476
2018-01-13,62.87447356559523
2018-01-14,63.29922090202381
2018-01-15,63.3621477229762
2018-01-16,63.56979229386905
2018-01-17,63.44736385065477
2018-01-18,62.98533336785714
2018-01-19,62.43421898815477
2018-01-20,61.959474937380946
2018-01-21,61.76570437904762
2018-01-22,61.657231758095236
2018-01-23,61.585368994940474
2018-01-24,61.352194560952384
2018-01-25,60.67706031940476
2018-01-26,59.861920818749994
2018-01-27,59.07909511863095
2018-01-28,58.372735331964286
2018-01-29,57.59083427279762
2018-01-30,57.01000419434524
2018-01-31,56.51158471565476
2018-02-01,56.5288114322619
2018-02-02,56.55876153202381
2018-02-03,56.39894989571429
2018-02-04,56.39145104535714
2018-02-05,56.37764885761904
2018-02-06,55.97920213071428
2018-02-07,55.845983690416666
2018-02-08,55.6731668575
2018-02-09,55.46357666333332
2018-02-10,55.592472256130954
2018-02-11,55.64045083321429
2018-02-12,55.398971414404755
2018-02-13,55.03305380440476
2018-02-14,54.56399673089286
2018-02-15,54.047343316011904
2018-02-16,53.635628999999994
2018-02-17,52.9433067922619
2018-02-18,52.11192022630952
2018-02-19,51.42960312988095
2018-02-20,50.99007212029762
2018-02-21,50.44737080815476
2018-02-22,50.0470739507738
2018-02-23,49.711883041071424
2018-02-24,49.39543457404762
2018-02-25,49.16703676023809
2018-02-26,48.98604151321428
2018-02-27,48.56873366458334
2018-02-28,48.190012465178576
2018-03-01,47.881274129464295
2018-03-02,47.47197456613095
2018-03-03,47.248510330476186
2018-03-04,47.512506801488094
2018-03-05,47.71584300196429
2018-03-06,48.27398808279762
2018-03-07,48.970666677738095
2018-03-08,49.64608835166666
2018-03-09,50.40236815827381
2018-03-10,51.51933212607143
2018-03-11,52.52968809815476
2018-03-12,54.078792880119046
2018-03-13,55.78047044916667
2018-03-14,57.40320833732143
2018-03-15,58.65205571958334
2018-03-16,59.9301312325
2018-03-17,60.85900588797619
2018-03-18,61.563699841845235
2018-03-19,61.98057606404762
2018-03-20,62.27513200488095
2018-03-21,62.836960985000005
2018-03-22,63.73059946244047
2018-03-23,64.40991626785714
2018-03-24,64.83803162476191
2018-03-25,65.14369505505952
2018-03-26,65.43152579178572
2018-03-27,65.50560304065476
2018-03-28,65.30494749934523
2018-03-29,65.12091977791667
2018-03-30,64.9577640089881
2018-03-31,64.76058323339285
2018-04-01,64.42445269
2018-04-02,63.831034232559524
2018-04-03,63.24144235428571
2018-04-04,62.47262376351191
2018-04-05,61.12492953583334
2018-04-06,59.91295744910714
2018-04-07,58.901954982321435
2018-04-08,58.22010625166667
2018-04-09,57.7848257964881
2018-04-10,57.40044494619047
2018-04-11,57.37850617815476
2018-04-12,58.08135539708333
2018-04-13,58.76681848410715
2018-04-14,59.41657564875
2018-04-15,60.07971310642857
2018-04-16,60.925817977083334
2018-04-17,61.147809056309534
2018-04-18,60.70685148333333
2018-04-19,60.07343650654762
2018-04-20,59.24086291333333
2018-04-21,58.31774826982143
2018-04-22,56.95366230654762
2018-04-23,55.25392293898809
2018-04-24,54.20980513107143
2018-04-25,53.806146378154764
2018-04-26,53.33342976630952
2018-04-27,52.91558785071429
2018-04-28,52.62161411017856
2018-04-29,52.39814313791667
2018-04-30,52.08544300059524
2018-05-01,51.7871244339881
2018-05-02,51.32951812946428
2018-05-03,50.95770142821429
2018-05-04,50.76643120398809
2018-05-05,50.74659407363096
2018-05-06,51.06345164315477
2018-05-07,51.74774218470238
2018-05-08,52.464455277619045
2018-05-09,53.33616621922619
2018-05-10,54.37950865535714
2018-05-11,55.44195697744048
2018-05-12,56.43125709041666
2018-05-13,57.35755779107143
2018-05-14,58.07433877821428
2018-05-15,58.57625799547619
2018-05-16,58.76563353160714
2018-05-17,58.74884219458334
2018-05-18,58.430542926130954
2018-05-19,58.02977545750001
2018-05-20,57.03933290821429
2018-05-21,55.470035969642865
2018-05-22,54.01457500511905
2018-05-23,52.72929118369047
2018-05-24,51.457519938749996
2018-05-25,50.48831903166666
2018-05-26,49.53149048267857
2018-05-27,49.123592893690464
2018-05-28,49.397463658928565
2018-05-29,49.55984354178571
2018-05-30,49.7322113922619
2018-05-31,50.036429865773805
2018-06-01,50.32120464898809
2018-06-02,50.703697522083324
2018-06-03,51.28202444678571
2018-06-04,51.953861434761905
2018-06-05,52.74498220803571
2018-06-06,53.59454880071428
2018-06-07,54.600357693750006
2018-06-08,55.64590109833333
2018-06-09,56.69766443327381
2018-06-10,57.66070922684524
2018-06-11,58.59762425333333
2018-06-12,59.4932701952381
2018-06-13,60.24133497214286
2018-06-14,60.64075497654762
2018-06-15,61.042004055595235
2018-06-16,61.445776622380954
2018-06-17,61.656365969285716
2018-06-18,61.6894952652381
2018-06-19,61.74382135422619
2018-06-20,61.88409560702381
2018-06-21,62.22988352440477
2018-06-22,62.5437796989881
2018-06-23,62.88212446630952
2018-06-24,63.22122813392857
2018-06-25,63.492697958869044
2018-06-26,63.868255619464286
2018-06-27,64.31375461482143
2018-06-28,64.65850927565477
2018-06-29,64.83273708785714
2018-06-30,64.79552018154762
2018-07-01,64.71270464172619
2018-07-02,64.6932308160119
2018-07-03,64.64643082238095
2018-07-04,64.55301175351191
2018-07-05,64.44966995107143
2018-07-06,64.42110110291667
