ocean_time,s_rho,lon_rho,lat_rho,dist_mile,salt
2019-08-29,-0.96875,-75.44822601553813,39.78327182739353,76.3096998322176,0.5154508
2019-08-30,-0.96875,-75.43992478078528,39.78595234477617,76.81510331536424,0.51529735
2019-08-31,-0.96875,-75.45875665843887,39.775477807131885,75.49583958056445,0.5134751
2019-09-01,-0.96875,-75.46459897219832,39.769692625189876,74.98334019091098,0.5149505
2019-09-02,-0.96875,-75.46463895168571,39.76927135445522,74.98326348032653,0.5150995
2019-09-03,-0.96875,-75.46549006862404,39.769800938033704,74.94532379078663,0.51573145
2019-09-04,-0.96875,-75.44614274083058,39.78399387924052,76.43280932064471,0.5152496
2019-09-05,-0.96875,-75.44336699352586,39.78745607102638,76.69173480343757,0.51550657
2019-09-06,-0.96875,-75.4271038563419,39.796161049994986,77.82968780961046,0.5151512
2019-09-07,-0.96875,-75.4268213327413,39.7976389547076,77.8970111042759,0.51505506
2019-09-08,-0.96875,-75.44106994324491,39.79049297965376,76.91388155656935,0.51505363
2019-09-09,-0.96875,-75.44363185727012,39.78691037117903,76.65623278067702,0.51541936
2019-09-10,-0.96875,-75.43327984168243,39.793893599721876,77.4305190456382,0.51506704
2019-09-11,-0.96875,-75.42627645727376,39.796552699616456,77.89030152871601,0.51505864
2019-09-12,-0.96875,-75.4264419752652,39.79733923156204,77.91029689022493,0.514798
2019-09-13,-0.96875,-75.4229732186935,39.79988171004164,78.18449853494323,0.51468
2019-09-14,-0.96875,-75.42167587140054,39.80125202513153,78.29790952126206,0.5150416
2019-09-15,-0.96875,-75.4183255306123,39.802225317113034,78.50129982392687,0.5144261
2019-09-16,-0.96875,-75.42686935873483,39.79821112984993,77.92092237403158,0.51527596
2019-09-17,-0.96875,-75.40725630375297,39.80906730397706,79.32875642343132,0.5146962
2019-09-18,-0.96875,-75.41288423154502,39.80585623378249,78.92379051538899,0.5157785
2019-09-19,-0.96875,-75.39451744097293,39.81635731647724,80.25019175005043,0.51410866
2019-09-20,-0.96875,-75.41041297483478,39.807548873337815,79.10844497292206,0.51410633
2019-09-21,-0.96875,-75.42654133266029,39.79871279381945,77.95133584995543,0.51472276
2019-09-22,-0.96875,-75.42056385731725,39.802164715485965,78.38436255563171,0.5153458
2019-09-23,-0.96875,-75.4263335995787,39.79880836314562,77.96248177392805,0.5154463
2019-09-24,-0.96875,-75.40411233651615,39.8105719625715,79.5296598615531,0.51506644
2019-09-25,-0.96875,-75.40263472930229,39.8116087379198,79.64981043881147,0.5148699
2019-09-26,-0.96875,-75.38763951383902,39.8182782114213,80.64936962929829,0.515043
2019-09-27,-0.96875,-75.3853590060574,39.81939414865215,80.8107994983727,0.51491946
2019-09-28,-0.96875,-75.43309689887741,39.795380400384666,77.48076194225447,0.514233
