ocean_time,s_rho,lon_rho,lat_rho,dist_mile,salt
2019-11-27,-0.96875,-75.50401129544258,39.72131864516537,70.99291950601257,0.5158909
2019-11-28,-0.96875,-75.51358326082212,39.7021164299162,69.68491762292201,0.5152474
2019-11-29,-0.96875,-75.52025571231648,39.69696738733451,69.16184318810346,0.51348174
2019-11-30,-0.96875,-75.50101097909148,39.72191809097672,71.15211624053558,0.51435
2019-12-01,-0.96875,-75.5070864049196,39.71463539696538,70.59028103394108,0.5156136
2019-12-02,-0.96875,-75.50098704720538,39.723188589560635,71.20493344714964,0.51664716
2019-12-03,-0.96875,-75.49883543252447,39.730401980836625,71.71063221155042,0.5147528
2019-12-04,-0.96875,-75.50859636696939,39.714876481963515,70.539215918275,0.5163624
2019-12-05,-0.96875,-75.52965574080908,39.68316632260316,68.07716158477504,0.51608837
2019-12-06,-0.96875,-75.53625776804947,39.670594909372554,67.16952154800356,0.51435333
2019-12-07,-0.96875,-75.53130382152032,39.678231734892606,67.75621874081777,0.51410055
2019-12-08,-0.96875,-75.53556127840496,39.67639892563599,67.50746306462328,0.51691365
2019-12-09,-0.96875,-75.52299932578455,39.701882817956374,69.31991772459234,0.513592
2019-12-10,-0.96875,-75.52306481017399,39.68686091083713,68.51326284744759,0.5147447
2019-12-11,-0.96875,-75.55311892156789,39.648407984621215,65.3286436256781,0.51234573
2019-12-12,-0.96875,-75.52961625832157,39.67722807221824,67.78317522394133,0.51211715
2019-12-13,-0.96875,-75.53149426124652,39.67781538420841,67.72250982763241,0.51608485
2019-12-14,-0.96875,-75.52768918084158,39.68032596584946,67.99035307336375,0.5137235
2019-12-15,-0.96875,-75.53021829877035,39.67685724703128,67.73350992547864,0.5149977
2019-12-16,-0.96875,-75.54277028335537,39.65224389965162,65.7230063418573,0.51344246
2019-12-17,-0.96875,-75.54988133044435,39.64026945206028,64.62175539028235,0.5138958
2019-12-18,-0.96875,-75.54560105329814,39.636226497004444,64.40767618189192,0.51532876
2019-12-19,-0.96875,-75.56608987843171,39.597760269989834,61.06395755342296,0.5171186
2019-12-20,-0.96875,-75.55184737120707,39.57900948884713,59.714227587763304,0.5147807
2019-12-21,-0.96875,-75.57749006877937,39.61348060521014,62.25992031865438,0.51690435
2019-12-22,-0.96875,-75.55428646024474,39.62587168937491,63.46253551020406,0.5135302
2019-12-23,-0.96875,-75.56036805498906,39.63268177169018,64.01721590147766,0.5165595
2019-12-24,-0.96875,-75.54848317384075,39.63658320587613,64.44496388453112,0.5154319
2019-12-25,-0.96875,-75.54735277819348,39.63714875021085,64.4485254161147,0.51451194
2019-12-26,-0.96875,-75.54180936043377,39.65413725352024,65.88585036911955,0.5139444
