ocean_time,s_rho,lon_rho,lat_rho,dist_mile,salt
2019-05-31,-0.96875,-75.55640160666431,39.58388025735799,60.224002394665874,0.5158491
2019-06-01,-0.96875,-75.55227625105852,39.571094355251674,59.18000570318471,0.51362574
2019-06-02,-0.96875,-75.54815089545271,39.55830845314536,58.13600901170355,0.51140237
2019-06-03,-0.96875,-75.5595563578696,39.5803422023457,59.79043148942939,0.5143838
2019-06-04,-0.96875,-75.56314575515572,39.47621377669465,52.46002916286507,0.5131521
2019-06-05,-0.96875,-75.56294874254216,39.513027504429225,55.06283631798657,0.51563275
2019-06-06,-0.96875,-75.55280828835795,39.57661585798313,59.45087585903198,0.5199387
2019-06-07,-0.96875,-75.56400031493504,39.536005461673255,56.659393550116675,0.5158438
2019-06-08,-0.96875,-75.55043802841634,39.549849364551676,57.55787687361834,0.5161287
2019-06-09,-0.96875,-75.55594205336716,39.55755777409252,58.20787167968651,0.51625746
2019-06-10,-0.96875,-75.56739954939128,39.56318314757922,58.69356979302281,0.5149817
2019-06-11,-0.96875,-75.54815870632432,39.53810979635932,56.725300669583035,0.51497793
2019-06-12,-0.96875,-75.5542723282978,39.54658424356782,57.363579090700405,0.515288
2019-06-13,-0.96875,-75.55737052697755,39.564977363190565,58.7391012753136,0.51442623
2019-06-14,-0.96875,-75.55739878680068,39.55587899271817,58.04506836826132,0.5157647
2019-06-15,-0.96875,-75.55434301299789,39.551450256239534,57.69751296959396,0.51824135
2019-06-16,-0.96875,-75.56157414077656,39.55569819216567,58.058383392978314,0.5160159
2019-06-17,-0.96875,-75.55349836187395,39.54679607609383,57.401109645418025,0.51445675
2019-06-18,-0.96875,-75.55866342231373,39.57614513682723,59.55109173493695,0.5146776
2019-06-19,-0.96875,-75.5566380149451,39.577877996764855,59.64824734152582,0.51622003
2019-06-20,-0.96875,-75.54727730929484,39.55784020831569,58.09939664338983,0.51321226
2019-06-21,-0.96875,-75.55381261698015,39.550087797369315,57.60726353660232,0.5148781
2019-06-22,-0.96875,-75.55898090558742,39.56364024721709,58.59121443358467,0.51430535
2019-06-23,-0.96875,-75.56147481567916,39.55765460455978,58.16064535999951,0.5158659
2019-06-24,-0.96875,-75.55719644148861,39.52518518649614,55.865244107741965,0.5127564
2019-06-25,-0.96875,-75.55061587933471,39.555562958336935,57.95160545327744,0.51362824
2019-06-26,-0.96875,-75.55303470464926,39.57482608911907,59.30227529572926,0.51242834
2019-06-27,-0.96875,-75.55162873929693,39.56498942855111,58.624382720672465,0.5165535
2019-06-28,-0.96875,-75.56119477601025,39.58911687563734,60.40801562687123,0.5149771
2019-06-29,-0.96875,-75.54548861088993,39.655003176190434,65.98110918388954,0.516468
