ocean_time,s_rho,lon_rho,lat_rho,dist_mile,salt
2019-07-30,-0.96875,-75.52676702167811,39.68146397601068,68.1144326682855,0.5154637
2019-07-31,-0.96875,-75.53199451864896,39.6776030443733,67.6725898705983,0.51531476
2019-08-01,-0.96875,-75.51821630371383,39.694564232168034,69.09674471933693,0.5148717
2019-08-02,-0.96875,-75.51932246397669,39.69568269467528,69.11714626717763,0.51513904
2019-08-03,-0.96875,-75.51056468130061,39.70862184712842,70.14196987179737,0.5152416
2019-08-04,-0.96875,-75.51151922646396,39.708162255418245,70.05692809492224,0.51622546
2019-08-05,-0.96875,-75.50657655001481,39.71416948205583,70.55948775482118,0.5147864
2019-08-06,-0.96875,-75.50352937767056,39.72067785632034,70.98767091729596,0.5137523
2019-08-07,-0.96875,-75.49720716146929,39.731471016756636,71.78765626836581,0.5138774
2019-08-08,-0.96875,-75.50048579594329,39.723611902513895,71.25312624095362,0.51646596
2019-08-09,-0.96875,-75.50007192058563,39.72588810580465,71.38996971111101,0.5159412
2019-08-10,-0.96875,-75.50129595636706,39.72373526854709,71.24112345154194,0.5150872
2019-08-11,-0.96875,-75.50325927656064,39.722745412909916,71.1250177621336,0.51442784
2019-08-12,-0.96875,-75.50800707869533,39.712608522339366,70.41299560715368,0.5146713
2019-08-13,-0.96875,-75.50107996380916,39.72653922895703,71.41804888934637,0.5152302
2019-08-14,-0.96875,-75.49798579555718,39.72844347980182,71.60752330253324,0.5145266
2019-08-15,-0.96875,-75.48589827025137,39.7471397197445,72.97646415009501,0.5150774
2019-08-16,-0.96875,-75.48687593110839,39.74387445151648,72.76643801466217,0.51412845
2019-08-17,-0.96875,-75.481337118404,39.75485686323878,73.53359899542514,0.5145979
2019-08-18,-0.96875,-75.48744204085178,39.74295924768217,72.72258256424578,0.5152938
2019-08-19,-0.96875,-75.49431576429716,39.733157263262605,71.98912794161139,0.5144836
2019-08-20,-0.96875,-75.49579459320886,39.728539292037134,71.69601509990044,0.5143588
2019-08-21,-0.96875,-75.48757647941189,39.74212280935673,72.68700403813449,0.51432055
2019-08-22,-0.96875,-75.49264270679917,39.73404444292926,72.09423321617622,0.5161305
2019-08-23,-0.96875,-75.49304146536653,39.73620297953015,72.18340820543985,0.5159107
2019-08-24,-0.96875,-75.48270154765719,39.75467646107266,73.52924803964923,0.514334
2019-08-25,-0.96875,-75.47152266968226,39.765298463857604,74.4674533440309,0.5151742
2019-08-26,-0.96875,-75.45243094807437,39.779653680133066,75.94631509366347,0.51671827
2019-08-27,-0.96875,-75.44680990444299,39.784669553442065,76.41351233700468,0.51513547
2019-08-28,-0.96875,-75.44575465789599,39.784608583701385,76.467371668288,0.51405376
