ocean_time,s_rho,lon_rho,lat_rho,dist_mile,salt
2019-04-01,-0.96875,-75.55401113316233,39.541838111605124,57.01966090757989,0.5140003
2019-04-02,-0.96875,-75.55487953315031,39.5742165536739,59.276866072742116,0.5162063
2019-04-03,-0.96875,-75.55950942606968,39.59990905297567,61.28992706452173,0.5154197
2019-04-04,-0.96875,-75.55733739356829,39.56786708329962,59.01129830159999,0.51600957
2019-04-05,-0.96875,-75.55232524908622,39.55363247134846,57.83757260002654,0.51469743
2019-04-06,-0.96875,-75.56768490252185,39.59375835896453,60.82016452902993,0.5133751
2019-04-07,-0.96875,-75.55578398965007,39.58039573020502,59.87429376824341,0.51570666
2019-04-08,-0.96875,-75.55401302005505,39.60091222509709,61.48319795073951,0.51491344
2019-04-09,-0.96875,-75.55446949490683,39.60070419705906,61.50164003227471,0.5149484
2019-04-10,-0.96875,-75.55185464784998,39.62027799431352,63.03895928464941,0.51297796
2019-04-11,-0.96875,-75.55439925164266,39.63198882048509,63.974578368403705,0.51576966
2019-04-12,-0.96875,-75.55182928272687,39.60364396445914,61.69996461660801,0.5140618
2019-04-13,-0.96875,-75.55465288591328,39.608688867365196,62.0864192063701,0.5154792
2019-04-14,-0.96875,-75.56040179389059,39.596826617057744,61.09944615220025,0.51549906
2019-04-15,-0.96875,-75.5542836674336,39.56431412663654,58.65854109827439,0.5145869
2019-04-16,-0.96875,-75.56035250763695,39.4984856207065,54.01154628841584,0.5149783
2019-04-17,-0.96875,-75.5580084782219,39.467112263240466,51.76037035788948,0.51592666
2019-04-18,-0.96875,-75.55128638413278,39.496276058936004,53.7454856295796,0.51511705
2019-04-19,-0.96875,-75.54745359133857,39.491654874357785,53.36654458453881,0.51750946
2019-04-20,-0.96875,-75.53078013145894,39.4410696703732,49.395502740468835,0.5133191
2019-04-21,-0.96875,-75.54696940152846,39.443577773689235,49.89091457647305,0.5148
2019-04-22,-0.96875,-75.53713670071932,39.43597588130199,49.148031498564116,0.5165045
2019-04-23,-0.96875,-75.5355506563484,39.43453326952967,49.00266698751968,0.51861566
2019-04-24,-0.96875,-75.51464417333291,39.415038034345486,47.2193798454884,0.5141797
2019-04-25,-0.96875,-75.51672745297367,39.41642997724039,47.36638053228644,0.5159963
2019-04-26,-0.96875,-75.5414729195342,39.45111784134195,50.32261174562061,0.5156323
2019-04-27,-0.96875,-75.56028575269616,39.45891193759294,51.222227701566005,0.51492965
2019-04-28,-0.96875,-75.55745631499623,39.49356368707013,53.64312575150024,0.5149578
2019-04-29,-0.96875,-75.55507312996454,39.503913859674356,54.35594979617484,0.51314497
2019-04-30,-0.96875,-75.55670514280105,39.526342882567384,55.94027369186983,0.5144563
