,saltfront_obs,saltfront_pred,train/val
2001-01-01,,70.25026,Training
2001-01-02,,71.09038,Training
2001-01-03,,71.64161,Training
2001-01-04,,72.284904,Training
2001-01-05,,73.14763,Training
2001-01-06,,74.02501,Training
2001-01-07,,74.70575,Training
2001-01-08,,74.840706,Training
2001-01-09,,74.47813,Training
2001-01-10,,75.4192,Training
2001-01-11,,75.438194,Training
2001-01-12,,75.54881,Training
2001-01-13,,75.76941,Training
2001-01-14,,76.263855,Training
2001-01-15,,76.748,Training
2001-01-16,,76.96407,Training
2001-01-17,,77.71072,Training
2001-01-18,,77.64072,Training
2001-01-19,,77.75531,Training
2001-01-20,,76.77972,Training
2001-01-21,,75.94728,Training
2001-01-22,,76.27755,Training
2001-01-23,,76.40862,Training
2001-01-24,,76.259636,Training
2001-01-25,,76.05883,Training
2001-01-26,,76.4479,Training
2001-01-27,,76.17144,Training
2001-01-28,,77.041374,Training
2001-01-29,,77.0861,Training
2001-01-30,,76.97534,Training
2001-01-31,,77.12607,Training
2001-02-01,,76.899445,Training
2001-02-02,,76.39726,Training
2001-02-03,,76.35046,Training
2001-02-04,,75.79654,Training
2001-02-05,,75.459915,Training
2001-02-06,,75.22587,Training
2001-02-07,,75.326,Training
2001-02-08,,74.2093,Training
2001-02-09,,72.59802,Training
2001-02-10,,72.27239,Training
2001-02-11,,72.30154,Training
2001-02-12,,71.631165,Training
2001-02-13,,71.40643,Training
2001-02-14,,70.92247,Training
2001-02-15,,70.8559,Training
2001-02-16,,71.1977,Training
2001-02-17,,70.9119,Training
2001-02-18,,71.66924,Training
2001-02-19,,71.05562,Training
2001-02-20,,70.543785,Training
2001-02-21,,70.20636,Training
2001-02-22,,70.238625,Training
2001-02-23,,70.81918,Training
2001-02-24,,70.72075,Training
2001-02-25,,69.83434,Training
2001-02-26,,69.71898,Training
2001-02-27,,69.63867,Training
2001-02-28,,69.14994,Training
2001-03-01,,68.93873,Training
2001-03-02,,68.87977,Training
2001-03-03,,69.07631,Training
2001-03-04,,69.585,Training
2001-03-05,,70.35616,Training
2001-03-06,,70.958855,Training
2001-03-07,,71.43292,Training
2001-03-08,,71.79625,Training
2001-03-09,,71.77765,Training
2001-03-10,,72.27152,Training
2001-03-11,,72.14684,Training
2001-03-12,,71.84772,Training
2001-03-13,,71.563644,Training
2001-03-14,,70.88585,Training
2001-03-15,,70.3394,Training
2001-03-16,,69.83572,Training
2001-03-17,,69.632614,Training
2001-03-18,,68.91742,Training
2001-03-19,,68.31137,Training
2001-03-20,,67.93379,Training
2001-03-21,,68.579956,Training
2001-03-22,,68.34047,Training
2001-03-23,,67.96452,Training
2001-03-24,,67.503006,Training
2001-03-25,,66.851944,Training
2001-03-26,,65.75781,Training
2001-03-27,,65.06602,Training
2001-03-28,,64.035835,Training
