,saltfront_obs,saltfront_pred,train/val
2001-01-01,,70.12,Training
2001-01-02,,70.83697,Training
2001-01-03,,71.433136,Training
2001-01-04,,72.024284,Training
2001-01-05,,72.69188,Training
2001-01-06,,73.44646,Training
2001-01-07,,73.90104,Training
2001-01-08,,73.92027,Training
2001-01-09,,73.778465,Training
2001-01-10,,73.9856,Training
2001-01-11,,74.104904,Training
2001-01-12,,74.07067,Training
2001-01-13,,74.68457,Training
2001-01-14,,75.60236,Training
2001-01-15,,76.564095,Training
2001-01-16,,77.51146,Training
2001-01-17,,78.32429,Training
2001-01-18,,78.378235,Training
2001-01-19,,78.62735,Training
2001-01-20,,78.15013,Training
2001-01-21,,76.90043,Training
2001-01-22,,76.11922,Training
2001-01-23,,76.37775,Training
2001-01-24,,76.55145,Training
2001-01-25,,76.57267,Training
2001-01-26,,76.891846,Training
2001-01-27,,76.67158,Training
2001-01-28,,76.82646,Training
2001-01-29,,76.97693,Training
2001-01-30,,76.97507,Training
2001-01-31,,76.71093,Training
2001-02-01,,75.99687,Training
2001-02-02,,75.51455,Training
2001-02-03,,74.68149,Training
2001-02-04,,73.83051,Training
2001-02-05,,74.36363,Training
2001-02-06,,73.778435,Training
2001-02-07,,73.113785,Training
2001-02-08,,72.07837,Training
2001-02-09,,71.97647,Training
2001-02-10,,72.22435,Training
2001-02-11,,71.57936,Training
2001-02-12,,70.33152,Training
2001-02-13,,70.87729,Training
2001-02-14,,70.40036,Training
2001-02-15,,70.15617,Training
2001-02-16,,70.09265,Training
2001-02-17,,70.02208,Training
2001-02-18,,69.42376,Training
2001-02-19,,69.18178,Training
2001-02-20,,68.89886,Training
2001-02-21,,68.82401,Training
2001-02-22,,69.627525,Training
2001-02-23,,69.86492,Training
2001-02-24,,69.5163,Training
2001-02-25,,69.48101,Training
2001-02-26,,69.138824,Training
2001-02-27,,69.18054,Training
2001-02-28,,69.511696,Training
2001-03-01,,69.65477,Training
2001-03-02,,69.24213,Training
2001-03-03,,69.11423,Training
2001-03-04,,69.27156,Training
2001-03-05,,69.53424,Training
2001-03-06,,70.22673,Training
2001-03-07,,70.54993,Training
2001-03-08,,70.56121,Training
2001-03-09,,70.71199,Training
2001-03-10,,70.975586,Training
2001-03-11,,70.68404,Training
2001-03-12,,70.60044,Training
2001-03-13,,70.68014,Training
2001-03-14,,70.47692,Training
2001-03-15,,70.17689,Training
2001-03-16,,69.73099,Training
2001-03-17,,69.42732,Training
2001-03-18,,68.73926,Training
2001-03-19,,68.05811,Training
2001-03-20,,67.6551,Training
2001-03-21,,67.61772,Training
2001-03-22,,67.43097,Training
2001-03-23,,67.125824,Training
2001-03-24,,66.364456,Training
2001-03-25,,65.446335,Training
2001-03-26,,64.13778,Training
2001-03-27,,63.536667,Training
2001-03-28,,62.573643,Training
2001-03-29,,62.689564,Training
2001-03-30,,61.811058,Training
2001-03-31,,61.18448,Training
2001-04-01,,60.268795,Training
2001-04-02,,59.500797,Training
2001-04-03,60.65286,59.062393,Training
2001-04-04,58.81143,58.76026,Training
2001-04-05,56.611427,58.509357,Training
2001-04-06,,58.71265,Training
2001-04-07,,58.93374,Training
2001-04-08,,58.55862,Training
2001-04-09,,58.42261,Training
2001-04-10,,58.18112,Training
2001-04-11,,57.747288,Training
2001-04-12,,57.297516,Training
2001-04-13,,57.027733,Training
2001-04-14,,56.810165,Training
2001-04-15,,56.93948,Training
2001-04-16,,56.904488,Training
2001-04-17,,57.304203,Training
2001-04-18,,58.231,Training
2001-04-19,,58.905933,Training
2001-04-20,54.507145,60.143486,Training
2001-04-21,58.89286,60.143555,Training
2001-04-22,62.855717,61.748627,Training
2001-04-23,64.41572,61.90055,Training
2001-04-24,65.44429,62.946518,Training
2001-04-25,65.50429,62.570465,Training
2001-04-26,65.30286,62.37508,Training
2001-04-27,65.23286,62.491055,Training
2001-04-28,65.11143,63.156902,Training
2001-04-29,65.01572,62.903755,Training
2001-04-30,65.16143,62.243225,Training
2001-05-01,65.14429,62.219296,Training
2001-05-02,65.24571,62.66576,Training
2001-05-03,65.19143,62.987854,Training
2001-05-04,65.03429,63.509224,Training
2001-05-05,64.994286,64.218155,Training
2001-05-06,65.13286,64.53898,Training
2001-05-07,65.274284,65.38662,Training
2001-05-08,65.44429,65.41153,Training
2001-05-09,65.56286,64.84636,Training
2001-05-10,65.74857,64.61894,Training
2001-05-11,65.96429,64.69779,Training
2001-05-12,66.19,64.85136,Training
2001-05-13,66.27286,65.10265,Training
2001-05-14,66.46571,65.87172,Training
2001-05-15,66.83,66.58198,Training
2001-05-16,67.29714,67.242325,Training
2001-05-17,67.81572,67.55638,Training
2001-05-18,68.30857,67.98033,Training
2001-05-19,68.76143,68.233215,Training
2001-05-20,69.20572,68.560715,Training
2001-05-21,69.48286,68.7294,Training
2001-05-22,69.66428,68.97168,Training
2001-05-23,69.71715,68.966835,Training
2001-05-24,69.737144,68.95493,Training
2001-05-25,69.75714,69.02008,Training
2001-05-26,69.774284,69.16457,Training
2001-05-27,69.63572,69.09024,Training
2001-05-28,69.46,68.683,Training
2001-05-29,69.26143,68.30898,Training
2001-05-30,69.07,68.04529,Training
2001-05-31,68.807144,67.98911,Training
