,saltfront_obs,saltfront_pred,train/val
2001-01-01,,69.69412,Training
2001-01-02,,70.05808,Training
2001-01-03,,70.594475,Training
2001-01-04,,71.13697,Training
2001-01-05,,71.6855,Training
2001-01-06,,72.4436,Training
2001-01-07,,72.84402,Training
2001-01-08,,73.182686,Training
2001-01-09,,73.30073,Training
2001-01-10,,74.131714,Training
2001-01-11,,74.05167,Training
2001-01-12,,74.52324,Training
2001-01-13,,75.230995,Training
2001-01-14,,76.133,Training
2001-01-15,,76.70211,Training
2001-01-16,,77.07028,Training
2001-01-17,,77.12215,Training
2001-01-18,,77.04937,Training
2001-01-19,,77.099304,Training
2001-01-20,,76.80911,Training
2001-01-21,,76.23561,Training
2001-01-22,,75.879364,Training
2001-01-23,,75.706345,Training
2001-01-24,,75.513626,Training
2001-01-25,,75.59731,Training
2001-01-26,,75.975105,Training
2001-01-27,,75.93484,Training
2001-01-28,,76.414986,Training
2001-01-29,,76.68582,Training
2001-01-30,,76.62733,Training
2001-01-31,,76.13391,Training
2001-02-01,,75.60262,Training
2001-02-02,,75.207184,Training
2001-02-03,,74.99482,Training
2001-02-04,,74.719124,Training
2001-02-05,,74.778046,Training
2001-02-06,,74.73747,Training
2001-02-07,,74.66474,Training
2001-02-08,,74.064514,Training
2001-02-09,,73.11069,Training
2001-02-10,,73.07962,Training
2001-02-11,,73.12084,Training
2001-02-12,,72.15516,Training
2001-02-13,,72.10067,Training
2001-02-14,,71.85818,Training
2001-02-15,,71.90163,Training
2001-02-16,,71.6851,Training
2001-02-17,,71.89692,Training
2001-02-18,,71.425865,Training
2001-02-19,,70.7988,Training
2001-02-20,,70.2508,Training
2001-02-21,,70.382576,Training
2001-02-22,,70.76869,Training
2001-02-23,,71.07787,Training
2001-02-24,,70.596695,Training
2001-02-25,,70.64638,Training
2001-02-26,,70.45321,Training
2001-02-27,,70.19398,Training
2001-02-28,,70.31483,Training
2001-03-01,,70.41163,Training
2001-03-02,,70.5146,Training
2001-03-03,,70.69733,Training
2001-03-04,,71.27458,Training
2001-03-05,,71.786125,Training
2001-03-06,,72.09232,Training
2001-03-07,,72.066864,Training
2001-03-08,,71.94243,Training
2001-03-09,,72.03492,Training
2001-03-10,,72.26154,Training
2001-03-11,,71.85951,Training
2001-03-12,,71.44233,Training
2001-03-13,,72.12348,Training
2001-03-14,,71.572044,Training
2001-03-15,,71.072464,Training
2001-03-16,,70.49708,Training
2001-03-17,,70.16279,Training
2001-03-18,,69.884674,Training
2001-03-19,,69.60254,Training
2001-03-20,,69.66111,Training
2001-03-21,,70.8458,Training
2001-03-22,,71.27518,Training
2001-03-23,,70.599365,Training
2001-03-24,,69.657715,Training
2001-03-25,,68.31836,Training
2001-03-26,,67.32079,Training
2001-03-27,,66.58996,Training
2001-03-28,,65.43574,Training
2001-03-29,,64.834045,Training
2001-03-30,,64.60234,Training
2001-03-31,,62.765068,Training
2001-04-01,,61.813263,Training
2001-04-02,,60.750343,Training
2001-04-03,60.65286,60.273,Training
2001-04-04,58.81143,60.070446,Training
2001-04-05,56.611427,59.54766,Training
2001-04-06,,59.32591,Training
2001-04-07,,59.53774,Training
2001-04-08,,59.368835,Training
2001-04-09,,58.932175,Training
2001-04-10,,58.654312,Training
2001-04-11,,58.76385,Training
2001-04-12,,58.09238,Training
2001-04-13,,57.788124,Training
2001-04-14,,57.79107,Training
2001-04-15,,58.18446,Training
2001-04-16,,58.634045,Training
2001-04-17,,58.856678,Training
2001-04-18,,59.63244,Training
2001-04-19,,59.970333,Training
2001-04-20,54.507145,60.749207,Training
2001-04-21,58.89286,60.74962,Training
2001-04-22,62.855717,61.58747,Training
2001-04-23,64.41572,61.31749,Training
2001-04-24,65.44429,62.337738,Training
2001-04-25,65.50429,62.35192,Training
2001-04-26,65.30286,62.739494,Training
2001-04-27,65.23286,62.854305,Training
2001-04-28,65.11143,63.189987,Training
2001-04-29,65.01572,62.669594,Training
2001-04-30,65.16143,62.08452,Training
2001-05-01,65.14429,61.714596,Training
2001-05-02,65.24571,62.2883,Training
2001-05-03,65.19143,62.468723,Training
2001-05-04,65.03429,63.047314,Training
2001-05-05,64.994286,63.999054,Training
2001-05-06,65.13286,64.71346,Training
2001-05-07,65.274284,65.48782,Training
2001-05-08,65.44429,65.41935,Training
2001-05-09,65.56286,65.48792,Training
2001-05-10,65.74857,65.76757,Training
2001-05-11,65.96429,65.95808,Training
2001-05-12,66.19,66.127106,Training
2001-05-13,66.27286,66.46443,Training
2001-05-14,66.46571,66.7875,Training
2001-05-15,66.83,66.66374,Training
2001-05-16,67.29714,67.028244,Training
2001-05-17,67.81572,67.3145,Training
2001-05-18,68.30857,67.548515,Training
2001-05-19,68.76143,67.682144,Training
2001-05-20,69.20572,68.44594,Training
2001-05-21,69.48286,68.72515,Training
2001-05-22,69.66428,68.83817,Training
2001-05-23,69.71715,68.96169,Training
2001-05-24,69.737144,69.04694,Training
2001-05-25,69.75714,69.1204,Training
2001-05-26,69.774284,69.24011,Training
2001-05-27,69.63572,69.56648,Training
2001-05-28,69.46,69.2143,Training
2001-05-29,69.26143,68.74422,Training
2001-05-30,69.07,68.38917,Training
2001-05-31,68.807144,68.06037,Training
2001-06-01,68.55,68.03847,Training
2001-06-02,68.26429,67.91314,Training
2001-06-03,68.07143,67.67353,Training
2001-06-04,67.814285,67.33369,Training
2001-06-05,67.57429,67.11528,Training
2001-06-06,67.31143,67.00245,Training
2001-06-07,67.115715,66.819214,Training
2001-06-08,66.93429,66.80749,Training
2001-06-09,66.82,66.73133,Training
2001-06-10,66.78571,66.74113,Training
2001-06-11,66.865715,67.06533,Training
2001-06-12,66.92715,66.81951,Training
2001-06-13,67.094284,67.1249,Training
2001-06-14,67.258575,67.44974,Training
2001-06-15,67.41143,67.454124,Training
2001-06-16,67.58,67.67041,Training
2001-06-17,67.468575,67.48668,Training
2001-06-18,67.28143,67.37998,Training
2001-06-19,67.14,67.23898,Training
2001-06-20,66.86286,67.02154,Training
2001-06-21,66.512856,67.1041,Training
2001-06-22,66.26714,67.47532,Training
2001-06-23,66.01857,67.25138,Training
2001-06-24,65.84286,66.81919,Training
2001-06-25,65.70857,66.51104,Training
2001-06-26,65.557144,66.14514,Training
2001-06-27,65.435715,65.98458,Training
2001-06-28,65.33429,65.91625,Training
2001-06-29,65.25143,66.240135,Training
2001-06-30,65.207146,66.17109,Training
2001-07-01,65.27286,66.25548,Training
2001-07-02,65.30857,66.30864,Training
2001-07-03,65.54143,66.44138,Training
2001-07-04,65.79429,66.63724,Training
2001-07-05,66.08429,66.89968,Training
2001-07-06,66.277145,67.170555,Training
2001-07-07,66.46,67.4085,Training
2001-07-08,66.700005,67.51547,Training
2001-07-09,66.93286,67.590034,Training
2001-07-10,67.038574,67.63396,Training
2001-07-11,67.16572,67.43623,Training
2001-07-12,67.36286,67.61142,Training
2001-07-13,67.615715,67.61288,Training
2001-07-14,67.88572,67.51412,Training
2001-07-15,68.21715,67.823296,Training
2001-07-16,68.60429,68.239395,Training
2001-07-17,68.935715,68.68328,Training
2001-07-18,69.262856,69.124054,Training
2001-07-19,69.538574,69.42595,Training
2001-07-20,69.788574,69.694176,Training
2001-07-21,69.94714,69.90557,Training
2001-07-22,70.04858,70.0115,Training
2001-07-23,70.13143,69.95317,Training
2001-07-24,70.23286,69.880424,Training
2001-07-25,70.307144,69.930664,Training
2001-07-26,70.328575,70.202774,Training
2001-07-27,70.38143,70.18088,Training
2001-07-28,70.457146,70.2511,Training
2001-07-29,70.54286,70.58116,Training
2001-07-30,70.667145,70.88245,Training
2001-07-31,70.82714,71.04048,Training
2001-08-01,71.02143,70.83747,Training
2001-08-02,71.26429,71.04397,Training
2001-08-03,71.42571,71.18726,Training
2001-08-04,71.56143,71.3854,Training
2001-08-05,71.73143,71.50517,Training
2001-08-06,71.85,71.50314,Training
2001-08-07,71.87857,71.54593,Training
2001-08-08,71.91428,71.52473,Training
2001-08-09,71.99715,71.91202,Training
2001-08-10,72.07429,72.30051,Training
2001-08-11,72.082855,72.13864,Training
2001-08-12,72.06857,72.243904,Training
2001-08-13,71.96143,71.94762,Training
2001-08-14,71.844284,71.81151,Training
2001-08-15,71.770004,72.124954,Training
2001-08-16,71.64,72.40614,Training
2001-08-17,71.48143,72.66526,Training
2001-08-18,71.35,72.549904,Training
2001-08-19,71.255714,72.65475,Training
2001-08-20,71.33429,72.60686,Training
2001-08-21,71.47858,72.50773,Training
2001-08-22,71.65714,72.55476,Training
2001-08-23,71.898575,72.83665,Training
2001-08-24,72.218575,73.33378,Training
2001-08-25,72.71286,74.048,Training
2001-08-26,73.167145,74.68803,Training
2001-08-27,73.48143,74.90357,Training
2001-08-28,73.72714,74.74746,Training
2001-08-29,73.94857,74.81763,Training
2001-08-30,74.11714,75.25359,Training
2001-08-31,74.26857,75.62906,Training
2001-09-01,74.28429,75.50912,Training
2001-09-02,74.340004,75.957886,Training
2001-09-03,74.61286,76.179855,Training
2001-09-04,74.905716,76.7753,Training
2001-09-05,75.10429,77.1186,Training
2001-09-06,75.34857,77.16676,Training
2001-09-07,75.60571,77.427864,Training
2001-09-08,75.88143,77.59744,Training
2001-09-09,76.097145,77.71101,Training
2001-09-10,76.174286,77.96054,Training
2001-09-11,76.26,78.12888,Training
2001-09-12,76.57,78.556694,Training
2001-09-13,76.84572,79.02607,Training
2001-09-14,77.01143,79.56527,Training
2001-09-15,77.39,80.672226,Training
2001-09-16,77.825714,81.35859,Training
2001-09-17,78.28,81.49774,Training
2001-09-18,78.774284,81.72931,Training
2001-09-19,79.16,82.00496,Training
2001-09-20,79.60429,82.488266,Training
2001-09-21,80.02857,83.17539,Training
2001-09-22,80.155716,83.54403,Training
2001-09-23,80.118576,83.91015,Training
2001-09-24,80.11143,84.22744,Training
2001-09-25,79.99857,84.12029,Training
2001-09-26,79.62857,83.837875,Training
2001-09-27,79.03429,82.656235,Training
2001-09-28,78.38143,81.649925,Training
2001-09-29,77.85715,81.09418,Training
2001-09-30,77.81572,80.940544,Training
2001-10-01,77.77143,80.345795,Training
2001-10-02,77.725716,80.10196,Training
2001-10-03,77.725716,80.265755,Training
2001-10-04,77.777145,80.267525,Training
2001-10-05,77.94572,80.48287,Training
2001-10-06,78.01572,80.35584,Training
2001-10-07,77.582855,79.84359,Training
2001-10-08,77.06715,79.40616,Training
2001-10-09,76.88857,78.92644,Training
2001-10-10,76.85429,78.84402,Training
2001-10-11,76.91572,78.71024,Training
2001-10-12,77.11714,78.68928,Training
2001-10-13,77.505714,78.92765,Training
2001-10-14,78.23428,79.16571,Training
2001-10-15,79.200005,79.972046,Training
2001-10-16,79.77286,80.808655,Training
2001-10-17,80.29429,80.50059,Training
2001-10-18,80.5,80.714905,Training
2001-10-19,80.81857,80.98969,Training
2001-10-20,81.03715,81.41781,Training
2001-10-21,81.122856,82.178856,Training
2001-10-22,80.987144,82.951515,Training
2001-10-23,81.10429,83.804634,Training
2001-10-24,81.40143,84.26837,Training
2001-10-25,81.93429,84.209076,Training
2001-10-26,82.12572,83.89065,Training
2001-10-27,82.13857,83.36936,Training
2001-10-28,82.15857,83.558685,Training
2001-10-29,82.40429,83.40349,Training
2001-10-30,82.44572,83.53917,Training
2001-10-31,82.48572,83.86358,Training
2001-11-01,82.54143,84.145706,Training
2001-11-02,82.69143,84.44357,Training
2001-11-03,82.987144,84.5223,Training
2001-11-04,83.25714,84.772026,Training
2001-11-05,83.26572,85.10771,Training
2001-11-06,83.39,85.28761,Training
2001-11-07,83.417145,85.461075,Training
2001-11-08,83.55143,85.654205,Training
2001-11-09,83.66428,85.588715,Training
2001-11-10,83.82715,85.7781,Training
2001-11-11,83.83858,85.46774,Training
2001-11-12,84.02857,85.233795,Training
2001-11-13,84.20143,84.84142,Training
2001-11-14,84.34286,84.62306,Training
2001-11-15,84.43,84.48178,Training
2001-11-16,84.630005,84.63158,Training
2001-11-17,84.83857,84.75924,Training
2001-11-18,85.20286,84.85597,Training
2001-11-19,85.38857,85.292145,Training
2001-11-20,85.54,85.5551,Training
2001-11-21,85.71,85.849724,Training
2001-11-22,85.91,86.161835,Training
2001-11-23,86.03143,86.33131,Training
2001-11-24,86.14,86.62545,Training
2001-11-25,86.204285,86.694046,Training
2001-11-26,86.270004,86.43639,Training
2001-11-27,86.35429,86.595764,Training
2001-11-28,86.39,86.54572,Training
2001-11-29,86.40286,86.557465,Training
2001-11-30,86.43,86.52308,Training
2001-12-01,86.37286,86.21836,Training
2001-12-02,86.27286,85.82491,Training
2001-12-03,86.21143,85.66038,Training
2001-12-04,86.13857,85.562775,Training
2001-12-05,86.06143,85.55988,Training
2001-12-06,85.96286,85.880264,Training
2001-12-07,85.82429,85.90612,Training
2001-12-08,85.76429,86.34342,Training
2001-12-09,85.72,86.5832,Training
2001-12-10,85.68714,86.48574,Training
2001-12-11,85.61714,86.34721,Training
2001-12-12,85.58143,85.975494,Training
2001-12-13,85.62429,85.75012,Training
2001-12-14,85.627144,85.88514,Training
2001-12-15,85.49572,85.88563,Training
2001-12-16,85.39143,85.573135,Training
2001-12-17,85.380005,85.8688,Training
2001-12-18,85.35286,85.82258,Training
2001-12-19,85.25,86.07568,Training
2001-12-20,84.97429,85.67908,Training
2001-12-21,84.39286,84.9984,Training
2001-12-22,83.96715,84.54629,Training
2001-12-23,83.61143,84.59903,Training
2001-12-24,83.01143,83.79224,Training
2001-12-25,82.31857,83.25644,Training
2001-12-26,81.66,82.79754,Training
2001-12-27,81.13143,82.40227,Training
2001-12-28,80.85,81.93834,Training
2001-12-29,80.39571,81.07271,Training
2001-12-30,79.777145,80.84853,Training
2001-12-31,79.23,80.662575,Training
2002-01-01,78.85286,71.61487,Training
2002-01-02,78.53143,72.88778,Training
2002-01-03,78.20143,74.1357,Training
2002-01-04,78.03429,75.386444,Training
2002-01-05,77.994286,76.429344,Training
2002-01-06,78.03571,77.09728,Training
2002-01-07,78.17715,77.73258,Training
2002-01-08,78.32715,78.03641,Training
2002-01-09,78.43429,77.94433,Training
2002-01-10,78.39429,77.898094,Training
2002-01-11,78.46571,77.89507,Training
2002-01-12,78.435715,78.32338,Training
2002-01-13,78.365715,77.901405,Training
2002-01-14,78.07,78.44516,Training
2002-01-15,77.79429,78.275986,Training
2002-01-16,77.608574,78.97758,Training
2002-01-17,77.59857,79.12983,Training
2002-01-18,77.42286,79.44559,Training
2002-01-19,77.31572,79.99607,Training
2002-01-20,77.384285,79.983246,Training
2002-01-21,77.64714,80.32364,Training
2002-01-22,77.66857,80.05572,Training
2002-01-23,77.62429,80.01602,Training
2002-01-24,77.66857,79.59398,Training
2002-01-25,77.67571,79.44675,Training
2002-01-26,77.62429,79.33341,Training
2002-01-27,77.31286,78.914406,Training
2002-01-28,77.08572,78.474525,Training
2002-01-29,77.127144,78.081665,Training
2002-01-30,77.20572,77.99992,Training
2002-01-31,77.21715,78.14013,Training
2002-02-01,77.35286,77.944855,Training
2002-02-02,77.192856,78.84361,Training
2002-02-03,77.12143,79.02047,Training
2002-02-04,76.91,78.59263,Training
2002-02-05,76.44572,78.27272,Training
2002-02-06,76.0,77.79451,Training
2002-02-07,75.424286,77.183685,Training
2002-02-08,74.80286,76.44159,Training
2002-02-09,74.51,75.7012,Training
2002-02-10,74.24286,75.06488,Training
2002-02-11,73.95143,74.89541,Training
2002-02-12,73.92143,74.895935,Training
2002-02-13,73.744286,74.77849,Training
2002-02-14,73.56857,74.36806,Training
2002-02-15,73.33714,73.749374,Training
2002-02-16,73.09143,73.24949,Training
2002-02-17,72.86286,72.86216,Training
2002-02-18,72.68,72.92832,Training
2002-02-19,72.59572,72.721725,Training
2002-02-20,72.575714,72.96029,Training
2002-02-21,72.54714,72.73745,Training
2002-02-22,72.55429,72.91268,Training
2002-02-23,72.56286,72.99346,Training
2002-02-24,72.58143,73.16014,Training
2002-02-25,72.69429,73.608696,Training
2002-02-26,72.66428,73.577774,Training
2002-02-27,72.622856,74.243996,Training
2002-02-28,72.53715,74.81853,Training
2002-03-01,72.46715,74.96383,Training
2002-03-02,72.50429,74.212944,Training
2002-03-03,72.73572,73.32975,Training
2002-03-04,72.564285,73.55974,Training
2002-03-05,72.28571,73.514496,Training
2002-03-06,72.038574,72.05304,Training
2002-03-07,71.80429,71.74785,Training
2002-03-08,71.64571,71.043945,Training
2002-03-09,71.46429,70.370834,Training
2002-03-10,70.98286,70.72707,Training
2002-03-11,70.67571,70.964264,Training
2002-03-12,70.575714,70.82577,Training
2002-03-13,70.53571,71.12458,Training
2002-03-14,70.622856,71.75733,Training
2002-03-15,70.57,71.52937,Training
2002-03-16,70.44429,71.271706,Training
2002-03-17,70.43,71.33185,Training
2002-03-18,70.655716,71.61678,Training
2002-03-19,70.744286,71.64348,Training
2002-03-20,70.82,72.131386,Training
2002-03-21,70.72858,71.5983,Training
2002-03-22,70.55429,70.87749,Training
2002-03-23,70.51714,70.02676,Training
2002-03-24,70.340004,69.62817,Training
2002-03-25,70.15714,70.1259,Training
2002-03-26,70.05857,70.447,Training
2002-03-27,69.87429,70.555565,Training
2002-03-28,69.737144,70.14324,Training
2002-03-29,69.68,69.35525,Training
2002-03-30,69.457146,68.75608,Training
2002-03-31,69.26,68.51568,Training
2002-04-01,68.95857,68.86264,Training
2002-04-02,68.48428,68.173416,Training
2002-04-03,67.98143,67.77692,Training
2002-04-04,67.387146,67.38832,Training
2002-04-05,66.950005,67.04006,Training
2002-04-06,66.74,66.64228,Training
2002-04-07,66.72429,66.60992,Training
2002-04-08,66.81715,66.59925,Training
2002-04-09,66.94429,66.716774,Training
2002-04-10,66.96715,66.379715,Training
2002-04-11,67.23143,66.40084,Training
2002-04-12,67.42715,66.53033,Training
2002-04-13,67.46,66.57513,Training
2002-04-14,67.328575,66.46066,Training
2002-04-15,67.130005,66.53662,Training
2002-04-16,66.99286,65.92418,Training
2002-04-17,66.98286,65.327126,Training
2002-04-18,66.86714,64.89763,Training
