ocean_time,s_rho,lon_rho,lat_rho,dist_mile,salt,abs_salt_diff_052
2019-01-02 15:00:00,-0.96875,-75.56307821206644,39.59146102315327,60.51655196380821,0.57937413,0.059374154
2019-01-02 16:00:00,-0.96875,-75.55753360991199,39.583846840144005,59.97409987883989,0.66605425,0.14605427
2019-01-02 17:00:00,-0.96875,-75.54372872550329,39.56060468734208,58.27272330966954,0.6534042,0.1334042
2019-01-02 18:00:00,-0.96875,-75.54518457332304,39.54002065540174,56.83996200470469,0.5210034,0.0010034442
2019-01-02 19:00:00,-0.96875,-75.55654394899307,39.503452146066486,54.34823215943785,0.5845302,0.064530194
2019-01-02 20:00:00,-0.96875,-75.56377739385314,39.472626577356486,52.205532730768965,0.5029465,0.017053485
2019-01-02 21:00:00,-0.96875,-75.56242807884175,39.467062522238116,51.81735734392735,0.5185447,0.001455307
2019-01-02 22:00:00,-0.96875,-75.56164478292999,39.488028196056334,53.2890283263766,0.48353714,0.036462843
2019-01-02 23:00:00,-0.96875,-75.55654394899307,39.503452146066486,54.34823215943785,0.49196336,0.028036624
2019-01-03 00:00:00,-0.96875,-75.5468902376685,39.53285062675551,56.34976537100757,0.48191264,0.03808734
2019-01-03 01:00:00,-0.96875,-75.54372872550329,39.56060468734208,58.27272330966954,0.4349287,0.085071295
2019-01-03 02:00:00,-0.96875,-75.55476963151925,39.57903464146615,59.6202698125947,0.47544482,0.044555157
2019-01-03 03:00:00,-0.96875,-75.56234068379523,39.58904749089606,60.331827281788975,0.5039356,0.016064405
2019-01-03 04:00:00,-0.96875,-75.56234068379523,39.58904749089606,60.331827281788975,0.4712451,0.04875487
2019-01-03 05:00:00,-0.96875,-75.54988125650517,39.571937139302605,59.11038129813908,0.6799421,0.15994209
2019-01-03 06:00:00,-0.96875,-75.54039141371236,39.55396275711659,57.81925031963709,0.4288142,0.09118578
2019-01-03 07:00:00,-0.96875,-75.54733638502073,39.52571983777987,55.84232958279782,0.5007528,0.019247174
2019-01-03 08:00:00,-0.96875,-75.56318531943133,39.48231858304697,52.88436482079461,0.50890476,0.011095226
2019-01-03 09:00:00,-0.96875,-75.56242807884175,39.467062522238116,51.81735734392735,0.48657614,0.03342384
2019-01-03 10:00:00,-0.96875,-75.56347542669609,39.47731404584592,52.52794983111889,0.51343393,0.0065660477
