,saltfront_obs,saltfront_pred,train/val
2001-01-01,,69.32293,Training
2001-01-02,,70.29354,Training
2001-01-03,,70.85707,Training
2001-01-04,,71.356224,Training
2001-01-05,,71.983505,Training
2001-01-06,,72.84098,Training
2001-01-07,,73.61463,Training
2001-01-08,,73.88673,Training
2001-01-09,,73.35611,Training
2001-01-10,,74.27574,Training
2001-01-11,,74.22764,Training
2001-01-12,,74.64203,Training
2001-01-13,,75.408745,Training
2001-01-14,,76.34848,Training
2001-01-15,,76.96114,Training
2001-01-16,,77.41755,Training
2001-01-17,,78.25009,Training
2001-01-18,,78.06225,Training
2001-01-19,,77.75589,Training
2001-01-20,,77.05901,Training
2001-01-21,,76.63255,Training
2001-01-22,,76.8653,Training
2001-01-23,,76.61527,Training
2001-01-24,,76.42148,Training
2001-01-25,,76.68091,Training
2001-01-26,,76.964584,Training
2001-01-27,,76.99556,Training
2001-01-28,,77.812126,Training
2001-01-29,,77.589935,Training
2001-01-30,,77.258385,Training
2001-01-31,,77.49486,Training
2001-02-01,,77.23238,Training
2001-02-02,,76.79061,Training
2001-02-03,,77.015465,Training
2001-02-04,,76.45801,Training
2001-02-05,,76.31616,Training
2001-02-06,,76.231865,Training
2001-02-07,,76.106445,Training
2001-02-08,,74.988846,Training
2001-02-09,,73.27157,Training
2001-02-10,,73.16331,Training
2001-02-11,,74.04102,Training
2001-02-12,,73.66142,Training
2001-02-13,,73.86557,Training
2001-02-14,,73.70884,Training
2001-02-15,,73.788246,Training
2001-02-16,,73.62595,Training
2001-02-17,,73.47282,Training
2001-02-18,,73.46928,Training
2001-02-19,,72.47995,Training
2001-02-20,,71.308624,Training
2001-02-21,,71.01734,Training
2001-02-22,,70.98588,Training
2001-02-23,,71.31733,Training
2001-02-24,,70.60505,Training
2001-02-25,,69.711296,Training
2001-02-26,,69.644264,Training
2001-02-27,,69.375114,Training
2001-02-28,,69.161606,Training
2001-03-01,,69.038795,Training
2001-03-02,,68.90054,Training
2001-03-03,,69.00728,Training
2001-03-04,,69.07477,Training
2001-03-05,,69.1555,Training
2001-03-06,,69.97526,Training
2001-03-07,,69.57317,Training
2001-03-08,,69.70719,Training
2001-03-09,,70.03901,Training
2001-03-10,,70.754005,Training
2001-03-11,,70.89707,Training
2001-03-12,,70.98211,Training
2001-03-13,,71.14314,Training
2001-03-14,,70.70165,Training
2001-03-15,,70.1363,Training
2001-03-16,,69.69746,Training
2001-03-17,,69.451775,Training
2001-03-18,,69.45331,Training
2001-03-19,,69.07407,Training
2001-03-20,,68.473694,Training
2001-03-21,,68.513626,Training
2001-03-22,,69.32357,Training
2001-03-23,,69.0651,Training
2001-03-24,,68.29314,Training
2001-03-25,,67.42356,Training
2001-03-26,,66.38282,Training
2001-03-27,,65.54591,Training
2001-03-28,,64.26287,Training
2001-03-29,,63.005516,Training
2001-03-30,,62.446686,Training
2001-03-31,,61.2186,Training
2001-04-01,,60.492405,Training
2001-04-02,,59.77825,Training
2001-04-03,60.65286,59.22228,Training
2001-04-04,58.81143,59.007164,Training
2001-04-05,56.611427,59.002323,Training
2001-04-06,,59.012188,Training
2001-04-07,,58.99134,Training
2001-04-08,,58.989098,Training
2001-04-09,,58.817547,Training
2001-04-10,,58.437843,Training
2001-04-11,,58.205643,Training
2001-04-12,,58.17354,Training
2001-04-13,,57.886044,Training
2001-04-14,,57.65751,Training
2001-04-15,,57.979237,Training
2001-04-16,,58.390255,Training
2001-04-17,,58.678444,Training
2001-04-18,,59.156086,Training
2001-04-19,,59.24989,Training
2001-04-20,54.507145,59.931255,Training
2001-04-21,58.89286,60.120636,Training
2001-04-22,62.855717,61.352127,Training
2001-04-23,64.41572,61.334602,Training
2001-04-24,65.44429,62.034595,Training
2001-04-25,65.50429,61.66479,Training
2001-04-26,65.30286,62.101406,Training
2001-04-27,65.23286,62.720825,Training
2001-04-28,65.11143,62.929024,Training
2001-04-29,65.01572,62.744522,Training
2001-04-30,65.16143,62.543507,Training
2001-05-01,65.14429,62.184895,Training
2001-05-02,65.24571,62.57699,Training
2001-05-03,65.19143,62.881626,Training
2001-05-04,65.03429,63.319595,Training
2001-05-05,64.994286,63.880924,Training
2001-05-06,65.13286,64.36498,Training
2001-05-07,65.274284,65.1036,Training
2001-05-08,65.44429,65.18763,Training
2001-05-09,65.56286,65.122284,Training
2001-05-10,65.74857,64.97389,Training
2001-05-11,65.96429,64.97718,Training
2001-05-12,66.19,65.20647,Training
2001-05-13,66.27286,65.57095,Training
2001-05-14,66.46571,66.09847,Training
2001-05-15,66.83,66.41625,Training
2001-05-16,67.29714,67.278404,Training
2001-05-17,67.81572,67.83629,Training
2001-05-18,68.30857,68.15536,Training
2001-05-19,68.76143,68.404854,Training
2001-05-20,69.20572,69.03841,Training
2001-05-21,69.48286,69.263954,Training
2001-05-22,69.66428,69.6152,Training
2001-05-23,69.71715,69.63402,Training
2001-05-24,69.737144,69.72983,Training
2001-05-25,69.75714,69.7627,Training
2001-05-26,69.774284,69.8214,Training
2001-05-27,69.63572,69.69808,Training
2001-05-28,69.46,69.328926,Training
2001-05-29,69.26143,68.914085,Training
2001-05-30,69.07,68.51396,Training
2001-05-31,68.807144,68.3187,Training
2001-06-01,68.55,68.13299,Training
2001-06-02,68.26429,68.00477,Training
2001-06-03,68.07143,67.8281,Training
2001-06-04,67.814285,67.57124,Training
2001-06-05,67.57429,67.20016,Training
2001-06-06,67.31143,66.90384,Training
2001-06-07,67.115715,66.790504,Training
2001-06-08,66.93429,66.755325,Training
2001-06-09,66.82,66.72992,Training
2001-06-10,66.78571,66.68903,Training
2001-06-11,66.865715,66.86522,Training
2001-06-12,66.92715,67.01138,Training
2001-06-13,67.094284,67.27971,Training
2001-06-14,67.258575,67.42536,Training
2001-06-15,67.41143,67.440285,Training
2001-06-16,67.58,67.96187,Training
2001-06-17,67.468575,68.13075,Training
2001-06-18,67.28143,67.71637,Training
2001-06-19,67.14,67.15822,Training
2001-06-20,66.86286,66.69037,Training
2001-06-21,66.512856,66.51432,Training
2001-06-22,66.26714,66.7238,Training
2001-06-23,66.01857,66.35485,Training
2001-06-24,65.84286,66.08175,Training
2001-06-25,65.70857,65.73335,Training
2001-06-26,65.557144,65.43211,Training
2001-06-27,65.435715,65.0739,Training
2001-06-28,65.33429,64.58037,Training
2001-06-29,65.25143,64.59541,Training
2001-06-30,65.207146,64.64848,Training
2001-07-01,65.27286,64.850235,Training
2001-07-02,65.30857,64.998604,Training
2001-07-03,65.54143,65.32193,Training
2001-07-04,65.79429,65.71979,Training
2001-07-05,66.08429,66.10957,Training
2001-07-06,66.277145,66.45853,Training
2001-07-07,66.46,66.87289,Training
2001-07-08,66.700005,67.30119,Training
2001-07-09,66.93286,67.52092,Training
2001-07-10,67.038574,67.651375,Training
2001-07-11,67.16572,67.602135,Training
2001-07-12,67.36286,67.58857,Training
2001-07-13,67.615715,67.551216,Training
2001-07-14,67.88572,67.48546,Training
2001-07-15,68.21715,67.61511,Training
2001-07-16,68.60429,67.85122,Training
2001-07-17,68.935715,68.256546,Training
2001-07-18,69.262856,69.04943,Training
2001-07-19,69.538574,69.48912,Training
2001-07-20,69.788574,69.72457,Training
2001-07-21,69.94714,69.888176,Training
2001-07-22,70.04858,69.97369,Training
2001-07-23,70.13143,69.95474,Training
2001-07-24,70.23286,70.00924,Training
2001-07-25,70.307144,70.13995,Training
2001-07-26,70.328575,70.15828,Training
2001-07-27,70.38143,69.91578,Training
2001-07-28,70.457146,69.534676,Training
2001-07-29,70.54286,69.624565,Training
2001-07-30,70.667145,69.86304,Training
2001-07-31,70.82714,69.799995,Training
2001-08-01,71.02143,69.71663,Training
2001-08-02,71.26429,69.83192,Training
2001-08-03,71.42571,70.12219,Training
2001-08-04,71.56143,70.34143,Training
2001-08-05,71.73143,70.536224,Training
2001-08-06,71.85,70.49376,Training
2001-08-07,71.87857,70.29049,Training
2001-08-08,71.91428,70.19807,Training
2001-08-09,71.99715,70.32428,Training
2001-08-10,72.07429,70.43115,Training
2001-08-11,72.082855,70.19805,Training
2001-08-12,72.06857,70.03252,Training
2001-08-13,71.96143,69.80363,Training
2001-08-14,71.844284,69.87921,Training
2001-08-15,71.770004,70.208496,Training
2001-08-16,71.64,70.3863,Training
2001-08-17,71.48143,70.64085,Training
2001-08-18,71.35,70.89628,Training
2001-08-19,71.255714,71.09502,Training
2001-08-20,71.33429,71.085846,Training
2001-08-21,71.47858,70.988,Training
2001-08-22,71.65714,71.154335,Training
2001-08-23,71.898575,71.49982,Training
2001-08-24,72.218575,71.896706,Training
2001-08-25,72.71286,72.3782,Training
2001-08-26,73.167145,72.66402,Training
2001-08-27,73.48143,73.01573,Training
2001-08-28,73.72714,73.11605,Training
2001-08-29,73.94857,73.28425,Training
2001-08-30,74.11714,73.66758,Training
2001-08-31,74.26857,73.97331,Training
2001-09-01,74.28429,73.77383,Training
2001-09-02,74.340004,73.9217,Training
2001-09-03,74.61286,73.93007,Training
2001-09-04,74.905716,74.17097,Training
2001-09-05,75.10429,74.16751,Training
2001-09-06,75.34857,74.08705,Training
2001-09-07,75.60571,74.233215,Training
2001-09-08,75.88143,74.53447,Training
2001-09-09,76.097145,74.85846,Training
2001-09-10,76.174286,75.25328,Training
2001-09-11,76.26,75.496185,Training
2001-09-12,76.57,75.95813,Training
2001-09-13,76.84572,76.54535,Training
2001-09-14,77.01143,76.93475,Training
2001-09-15,77.39,78.03632,Training
