,saltfront_obs,saltfront_pred,train/val
2001-01-01,,69.61049,Training
2001-01-02,,70.74958,Training
2001-01-03,,71.293045,Training
2001-01-04,,71.703995,Training
2001-01-05,,72.44519,Training
2001-01-06,,73.191315,Training
2001-01-07,,73.5199,Training
2001-01-08,,73.99619,Training
2001-01-09,,74.14712,Training
2001-01-10,,74.759254,Training
2001-01-11,,75.043015,Training
2001-01-12,,75.35014,Training
2001-01-13,,76.062584,Training
2001-01-14,,76.946,Training
2001-01-15,,77.59383,Training
2001-01-16,,77.94449,Training
2001-01-17,,78.303925,Training
2001-01-18,,78.12606,Training
2001-01-19,,77.86429,Training
2001-01-20,,77.06216,Training
2001-01-21,,76.73735,Training
2001-01-22,,76.67425,Training
2001-01-23,,77.06485,Training
2001-01-24,,77.0337,Training
2001-01-25,,77.07854,Training
2001-01-26,,77.40283,Training
2001-01-27,,77.30449,Training
2001-01-28,,77.64298,Training
2001-01-29,,77.84474,Training
2001-01-30,,77.483604,Training
2001-01-31,,77.03187,Training
2001-02-01,,76.94237,Training
2001-02-02,,76.93702,Training
2001-02-03,,76.98492,Training
2001-02-04,,76.766304,Training
2001-02-05,,76.89227,Training
2001-02-06,,76.485115,Training
2001-02-07,,76.627,Training
2001-02-08,,75.96785,Training
2001-02-09,,74.28101,Training
2001-02-10,,73.213066,Training
2001-02-11,,73.99181,Training
2001-02-12,,73.35967,Training
2001-02-13,,73.71738,Training
2001-02-14,,73.42266,Training
2001-02-15,,73.38046,Training
2001-02-16,,73.50179,Training
2001-02-17,,73.356575,Training
2001-02-18,,73.07651,Training
2001-02-19,,72.477325,Training
2001-02-20,,71.73757,Training
2001-02-21,,71.6538,Training
2001-02-22,,71.659966,Training
2001-02-23,,72.1129,Training
2001-02-24,,71.2664,Training
2001-02-25,,70.774254,Training
2001-02-26,,70.47961,Training
2001-02-27,,70.24536,Training
2001-02-28,,69.927,Training
2001-03-01,,69.36142,Training
2001-03-02,,68.99319,Training
2001-03-03,,69.06189,Training
2001-03-04,,69.69094,Training
2001-03-05,,69.95752,Training
2001-03-06,,69.99767,Training
2001-03-07,,70.179985,Training
2001-03-08,,70.44698,Training
2001-03-09,,70.66693,Training
2001-03-10,,71.092804,Training
2001-03-11,,70.872444,Training
2001-03-12,,70.43294,Training
2001-03-13,,70.589165,Training
2001-03-14,,70.17341,Training
2001-03-15,,69.45496,Training
