,saltfront_obs,saltfront_pred,train/val
2001-01-01,,70.88542,Training
2001-01-02,,71.18226,Training
2001-01-03,,71.0552,Training
2001-01-04,,71.21288,Training
2001-01-05,,71.75515,Training
2001-01-06,,72.5683,Training
2001-01-07,,73.13017,Training
2001-01-08,,73.6894,Training
2001-01-09,,74.267784,Training
2001-01-10,,75.4731,Training
2001-01-11,,75.95502,Training
2001-01-12,,76.40778,Training
2001-01-13,,76.86352,Training
2001-01-14,,77.51178,Training
2001-01-15,,78.22037,Training
2001-01-16,,78.457825,Training
2001-01-17,,78.50282,Training
2001-01-18,,78.120674,Training
2001-01-19,,77.948105,Training
2001-01-20,,76.26868,Training
2001-01-21,,75.10008,Training
2001-01-22,,74.5356,Training
2001-01-23,,74.27987,Training
2001-01-24,,74.10113,Training
2001-01-25,,74.353004,Training
2001-01-26,,74.60481,Training
2001-01-27,,75.18593,Training
2001-01-28,,75.462616,Training
2001-01-29,,75.07419,Training
2001-01-30,,75.024185,Training
2001-01-31,,75.01922,Training
2001-02-01,,74.39873,Training
2001-02-02,,74.117645,Training
2001-02-03,,74.287704,Training
2001-02-04,,73.77864,Training
2001-02-05,,73.845024,Training
2001-02-06,,74.30133,Training
2001-02-07,,74.7784,Training
2001-02-08,,74.288345,Training
2001-02-09,,73.022285,Training
2001-02-10,,72.65219,Training
2001-02-11,,72.76205,Training
2001-02-12,,72.21531,Training
2001-02-13,,71.858475,Training
2001-02-14,,71.62578,Training
2001-02-15,,71.3568,Training
2001-02-16,,71.44405,Training
2001-02-17,,71.03183,Training
2001-02-18,,71.09411,Training
2001-02-19,,70.35337,Training
2001-02-20,,69.49445,Training
2001-02-21,,69.332436,Training
2001-02-22,,69.86354,Training
2001-02-23,,70.567345,Training
2001-02-24,,70.03252,Training
2001-02-25,,70.08807,Training
2001-02-26,,69.53568,Training
2001-02-27,,68.904686,Training
2001-02-28,,68.80773,Training
2001-03-01,,68.692,Training
2001-03-02,,68.70129,Training
2001-03-03,,68.77062,Training
2001-03-04,,69.34581,Training
2001-03-05,,69.48736,Training
2001-03-06,,70.143036,Training
2001-03-07,,70.297775,Training
2001-03-08,,70.19383,Training
2001-03-09,,70.44637,Training
2001-03-10,,71.05989,Training
2001-03-11,,71.103516,Training
2001-03-12,,70.861946,Training
2001-03-13,,71.0696,Training
2001-03-14,,70.92482,Training
2001-03-15,,70.64098,Training
2001-03-16,,70.01361,Training
2001-03-17,,69.492966,Training
2001-03-18,,69.21763,Training
2001-03-19,,68.185,Training
2001-03-20,,68.02098,Training
2001-03-21,,68.339294,Training
2001-03-22,,67.63527,Training
2001-03-23,,67.791435,Training
2001-03-24,,67.628044,Training
2001-03-25,,67.11447,Training
2001-03-26,,66.171875,Training
2001-03-27,,65.26596,Training
2001-03-28,,63.92516,Training
2001-03-29,,63.47104,Training
2001-03-30,,62.356323,Training
2001-03-31,,61.662357,Training
2001-04-01,,60.7667,Training
2001-04-02,,59.950974,Training
2001-04-03,60.65286,59.551495,Training
2001-04-04,58.81143,59.120525,Training
2001-04-05,56.611427,59.074623,Training
2001-04-06,,59.157375,Training
2001-04-07,,59.106663,Training
2001-04-08,,59.224308,Training
2001-04-09,,59.015343,Training
2001-04-10,,58.589725,Training
2001-04-11,,58.2153,Training
2001-04-12,,58.007072,Training
2001-04-13,,57.955826,Training
2001-04-14,,57.703144,Training
2001-04-15,,57.631447,Training
2001-04-16,,57.422955,Training
2001-04-17,,56.88064,Training
2001-04-18,,57.22463,Training
2001-04-19,,57.62342,Training
2001-04-20,54.507145,58.83525,Training
2001-04-21,58.89286,59.752014,Training
2001-04-22,62.855717,61.44125,Training
2001-04-23,64.41572,62.141663,Training
2001-04-24,65.44429,63.655403,Training
2001-04-25,65.50429,64.04544,Training
2001-04-26,65.30286,64.35777,Training
2001-04-27,65.23286,64.24974,Training
2001-04-28,65.11143,64.116776,Training
2001-04-29,65.01572,63.649216,Training
2001-04-30,65.16143,62.996532,Training
2001-05-01,65.14429,62.625225,Training
2001-05-02,65.24571,62.793438,Training
2001-05-03,65.19143,62.73429,Training
2001-05-04,65.03429,63.00391,Training
2001-05-05,64.994286,63.519978,Training
2001-05-06,65.13286,64.08871,Training
2001-05-07,65.274284,64.797035,Training
2001-05-08,65.44429,64.92105,Training
2001-05-09,65.56286,64.67671,Training
2001-05-10,65.74857,64.59829,Training
2001-05-11,65.96429,64.900696,Training
2001-05-12,66.19,65.12147,Training
2001-05-13,66.27286,65.08488,Training
2001-05-14,66.46571,65.29306,Training
2001-05-15,66.83,65.76414,Training
2001-05-16,67.29714,66.613655,Training
2001-05-17,67.81572,67.14166,Training
2001-05-18,68.30857,67.762634,Training
2001-05-19,68.76143,68.018265,Training
2001-05-20,69.20572,68.55007,Training
2001-05-21,69.48286,68.83478,Training
2001-05-22,69.66428,69.09954,Training
2001-05-23,69.71715,69.223625,Training
2001-05-24,69.737144,69.19939,Training
2001-05-25,69.75714,69.195564,Training
2001-05-26,69.774284,69.25907,Training
2001-05-27,69.63572,69.17371,Training
2001-05-28,69.46,68.850655,Training
2001-05-29,69.26143,68.62596,Training
2001-05-30,69.07,68.32494,Training
2001-05-31,68.807144,68.03125,Training
2001-06-01,68.55,68.01792,Training
2001-06-02,68.26429,67.77576,Training
2001-06-03,68.07143,67.65463,Training
2001-06-04,67.814285,67.46295,Training
2001-06-05,67.57429,67.13077,Training
2001-06-06,67.31143,66.89228,Training
2001-06-07,67.115715,66.7125,Training
2001-06-08,66.93429,66.63593,Training
2001-06-09,66.82,66.68592,Training
2001-06-10,66.78571,66.76018,Training
2001-06-11,66.865715,66.878944,Training
2001-06-12,66.92715,66.9064,Training
2001-06-13,67.094284,67.06908,Training
2001-06-14,67.258575,67.0549,Training
2001-06-15,67.41143,66.879005,Training
2001-06-16,67.58,67.15846,Training
2001-06-17,67.468575,67.23517,Training
2001-06-18,67.28143,67.045364,Training
2001-06-19,67.14,66.67396,Training
2001-06-20,66.86286,66.32709,Training
2001-06-21,66.512856,66.134796,Training
2001-06-22,66.26714,66.072495,Training
2001-06-23,66.01857,65.255196,Training
2001-06-24,65.84286,65.07131,Training
2001-06-25,65.70857,64.910835,Training
2001-06-26,65.557144,64.775795,Training
2001-06-27,65.435715,64.60191,Training
2001-06-28,65.33429,64.61842,Training
2001-06-29,65.25143,65.02226,Training
2001-06-30,65.207146,65.219635,Training
2001-07-01,65.27286,65.441246,Training
2001-07-02,65.30857,65.289795,Training
2001-07-03,65.54143,65.474625,Training
2001-07-04,65.79429,65.6876,Training
2001-07-05,66.08429,65.98114,Training
2001-07-06,66.277145,66.17898,Training
2001-07-07,66.46,66.40753,Training
2001-07-08,66.700005,66.63424,Training
2001-07-09,66.93286,66.82521,Training
2001-07-10,67.038574,67.149284,Training
2001-07-11,67.16572,67.19839,Training
2001-07-12,67.36286,67.14865,Training
2001-07-13,67.615715,67.24888,Training
2001-07-14,67.88572,67.38832,Training
2001-07-15,68.21715,67.66506,Training
2001-07-16,68.60429,67.96272,Training
2001-07-17,68.935715,68.547104,Training
2001-07-18,69.262856,69.04003,Training
2001-07-19,69.538574,69.39622,Training
2001-07-20,69.788574,69.68578,Training
2001-07-21,69.94714,69.9329,Training
2001-07-22,70.04858,70.14749,Training
2001-07-23,70.13143,70.233826,Training
2001-07-24,70.23286,70.227036,Training
2001-07-25,70.307144,70.195816,Training
