datetime,saltfront_daily,saltfront7_weekly
2000-05-19T00:00:00Z,61.56,64.02285714285713
2000-05-20T00:00:00Z,63.54,63.78714285714285
2000-05-21T00:00:00Z,63.15,63.48857142857143
2000-05-22T00:00:00Z,62.07,63.18285714285714
2000-05-23T00:00:00Z,61.87,62.84999999999999
2000-05-24T00:00:00Z,60.5,62.33285714285713
2000-05-25T00:00:00Z,59.2,61.69857142857143
2000-05-26T00:00:00Z,59.66,61.42714285714285
2000-05-27T00:00:00Z,61.84,61.18428571428571
2000-05-28T00:00:00Z,63.69,61.26142857142857
2000-05-29T00:00:00Z,65.32,61.72571428571428
2000-05-30T00:00:00Z,65.69,62.27142857142857
2000-05-31T00:00:00Z,65.1,62.92857142857142
2000-06-01T00:00:00Z,64.56,63.69428571428571
2000-06-02T00:00:00Z,64.4,64.37142857142857
2000-06-03T00:00:00Z,64.22,64.71142857142857
2000-06-04T00:00:00Z,64.5,64.82714285714285
2000-06-05T00:00:00Z,64.66,64.73285714285714
2000-06-06T00:00:00Z,65.23,64.66714285714285
2000-06-07T00:00:00Z,65.19,64.67999999999999
2000-06-08T00:00:00Z,64.8,64.71428571428571
2000-06-09T00:00:00Z,63.65,64.60714285714286
2000-06-10T00:00:00Z,62.65,64.38285714285713
2000-06-11T00:00:00Z,62.86,64.14857142857143
2000-06-12T00:00:00Z,63.12,63.92857142857143
2000-06-13T00:00:00Z,62.91,63.59714285714285
2000-06-14T00:00:00Z,62.46,63.20714285714285
2000-06-15T00:00:00Z,62.09,62.81999999999999
2000-06-16T00:00:00Z,61.33,62.48857142857143
2000-06-17T00:00:00Z,60.45,62.17428571428572
2000-06-18T00:00:00Z,59.38,61.67714285714286
2000-06-19T00:00:00Z,59.62,61.17714285714286
2000-06-20T00:00:00Z,60.75,60.86857142857142
2000-06-21T00:00:00Z,61.25,60.69571428571429
2000-06-22T00:00:00Z,59.58,60.33714285714285
2000-06-23T00:00:00Z,59.85,60.12571428571427
2000-06-24T00:00:00Z,61.3,60.24714285714285
2000-06-25T00:00:00Z,61.78,60.59
2000-06-26T00:00:00Z,60.45,60.70857142857142
2000-06-27T00:00:00Z,59.94,60.59285714285714
2000-06-28T00:00:00Z,60.62,60.50285714285714
2000-06-29T00:00:00Z,61.3,60.74857142857143
2000-06-30T00:00:00Z,62.27,61.09428571428571
2000-07-01T00:00:00Z,62.42,61.25428571428571
2000-07-02T00:00:00Z,62.74,61.39142857142857
2000-07-03T00:00:00Z,62.9,61.74142857142857
2000-07-04T00:00:00Z,62.45,62.1
2000-07-05T00:00:00Z,63.12,62.45714285714286
2000-07-06T00:00:00Z,63.55,62.77857142857142
2000-07-07T00:00:00Z,64.09,63.03857142857142
2000-07-08T00:00:00Z,64.59,63.34857142857143
2000-07-09T00:00:00Z,65.14,63.69142857142857
2000-07-10T00:00:00Z,65.05,63.99857142857143
2000-07-11T00:00:00Z,65.99,64.50428571428571
2000-07-12T00:00:00Z,66.48,64.9842857142857
2000-07-13T00:00:00Z,67.11,65.49285714285715
2000-07-14T00:00:00Z,67.25,65.94428571428571
2000-07-15T00:00:00Z,67.49,66.35857142857142
2000-07-16T00:00:00Z,67.39,66.67999999999999
2000-07-17T00:00:00Z,67.32,67.00428571428571
2000-07-18T00:00:00Z,67.41,67.20714285714284
2000-07-19T00:00:00Z,66.84,67.25857142857141
2000-07-20T00:00:00Z,67.64,67.3342857142857
2000-07-21T00:00:00Z,68.01,67.44285714285714
2000-07-22T00:00:00Z,67.61,67.46
2000-07-23T00:00:00Z,67.76,67.51285714285713
2000-07-24T00:00:00Z,68.12,67.62714285714286
2000-07-25T00:00:00Z,68.27,67.75
2000-07-26T00:00:00Z,68.42,67.97571428571428
2000-07-27T00:00:00Z,67.88,68.00999999999999
2000-07-28T00:00:00Z,67.83,67.98428571428572
2000-07-29T00:00:00Z,68.2,68.06857142857142
2000-07-30T00:00:00Z,68.31,68.14714285714285
2000-07-31T00:00:00Z,68.4,68.18714285714285
2000-08-01T00:00:00Z,68.37,68.20142857142856
2000-08-02T00:00:00Z,68.02,68.14428571428572
2000-08-03T00:00:00Z,67.47,68.08571428571427
2000-08-04T00:00:00Z,66.81,67.94
