,saltfront_obs,saltfront_pred,train/val
2001-01-01,,72.235535,Training
2001-01-02,,72.525764,Training
2001-01-03,,72.82325,Training
2001-01-04,,73.17068,Training
2001-01-05,,73.76765,Training
2001-01-06,,74.001915,Training
2001-01-07,,74.282295,Training
2001-01-08,,74.11203,Training
2001-01-09,,73.66571,Training
2001-01-10,,74.51636,Training
2001-01-11,,74.517235,Training
2001-01-12,,74.42677,Training
2001-01-13,,74.45568,Training
2001-01-14,,74.92145,Training
2001-01-15,,75.23303,Training
2001-01-16,,75.46425,Training
2001-01-17,,75.72676,Training
2001-01-18,,75.53513,Training
2001-01-19,,75.15981,Training
2001-01-20,,74.2074,Training
2001-01-21,,73.91685,Training
2001-01-22,,74.0972,Training
2001-01-23,,74.46408,Training
2001-01-24,,74.652176,Training
2001-01-25,,74.94174,Training
2001-01-26,,75.33533,Training
2001-01-27,,75.60393,Training
2001-01-28,,75.96433,Training
2001-01-29,,76.16524,Training
2001-01-30,,75.86895,Training
2001-01-31,,75.47373,Training
2001-02-01,,75.06345,Training
2001-02-02,,74.78453,Training
2001-02-03,,74.81002,Training
2001-02-04,,74.784966,Training
2001-02-05,,74.61579,Training
2001-02-06,,74.704834,Training
2001-02-07,,75.07188,Training
2001-02-08,,74.28935,Training
2001-02-09,,72.73987,Training
2001-02-10,,72.59813,Training
2001-02-11,,72.19319,Training
2001-02-12,,71.64291,Training
2001-02-13,,71.60559,Training
2001-02-14,,71.35057,Training
2001-02-15,,71.43187,Training
2001-02-16,,71.55436,Training
2001-02-17,,71.33682,Training
2001-02-18,,70.82896,Training
2001-02-19,,70.255424,Training
2001-02-20,,69.90127,Training
2001-02-21,,69.77578,Training
2001-02-22,,69.935135,Training
2001-02-23,,70.290924,Training
2001-02-24,,69.25526,Training
2001-02-25,,69.69616,Training
2001-02-26,,69.244125,Training
2001-02-27,,68.51763,Training
2001-02-28,,68.21058,Training
2001-03-01,,68.00593,Training
2001-03-02,,68.00763,Training
2001-03-03,,68.20723,Training
2001-03-04,,68.61976,Training
2001-03-05,,68.58327,Training
2001-03-06,,69.564575,Training
2001-03-07,,69.10473,Training
2001-03-08,,69.3464,Training
2001-03-09,,70.00891,Training
2001-03-10,,71.14174,Training
2001-03-11,,71.49395,Training
2001-03-12,,71.25146,Training
2001-03-13,,70.88644,Training
2001-03-14,,70.61567,Training
2001-03-15,,70.266205,Training
2001-03-16,,69.6365,Training
2001-03-17,,69.25707,Training
2001-03-18,,68.689835,Training
2001-03-19,,68.31976,Training
2001-03-20,,67.54892,Training
2001-03-21,,67.85618,Training
2001-03-22,,67.723045,Training
2001-03-23,,67.46311,Training
2001-03-24,,66.591866,Training
2001-03-25,,65.54848,Training
2001-03-26,,64.26464,Training
2001-03-27,,63.67568,Training
2001-03-28,,62.781918,Training
2001-03-29,,62.56972,Training
2001-03-30,,62.921894,Training
2001-03-31,,61.573845,Training
2001-04-01,,61.23608,Training
2001-04-02,,60.11768,Training
2001-04-03,60.65286,59.642483,Training
2001-04-04,58.81143,59.52064,Training
2001-04-05,56.611427,59.090424,Training
2001-04-06,,59.208126,Training
2001-04-07,,59.50341,Training
2001-04-08,,59.284336,Training
2001-04-09,,58.957985,Training
2001-04-10,,58.696632,Training
2001-04-11,,58.530956,Training
2001-04-12,,58.102745,Training
2001-04-13,,57.517994,Training
2001-04-14,,56.912113,Training
2001-04-15,,57.1038,Training
2001-04-16,,57.08782,Training
2001-04-17,,57.16001,Training
2001-04-18,,58.037453,Training
2001-04-19,,58.241257,Training
2001-04-20,54.507145,59.267784,Training
2001-04-21,58.89286,59.44112,Training
2001-04-22,62.855717,60.543964,Training
2001-04-23,64.41572,60.30778,Training
2001-04-24,65.44429,62.045773,Training
2001-04-25,65.50429,61.56146,Training
2001-04-26,65.30286,62.480648,Training
2001-04-27,65.23286,62.92004,Training
2001-04-28,65.11143,63.300285,Training
2001-04-29,65.01572,63.04541,Training
2001-04-30,65.16143,62.930447,Training
2001-05-01,65.14429,62.634026,Training
2001-05-02,65.24571,63.17659,Training
2001-05-03,65.19143,63.2276,Training
2001-05-04,65.03429,63.85712,Training
2001-05-05,64.994286,64.79859,Training
2001-05-06,65.13286,65.1531,Training
2001-05-07,65.274284,65.839035,Training
2001-05-08,65.44429,65.9291,Training
2001-05-09,65.56286,66.13986,Training
2001-05-10,65.74857,66.17373,Training
2001-05-11,65.96429,66.26598,Training
2001-05-12,66.19,66.22308,Training
2001-05-13,66.27286,66.22469,Training
2001-05-14,66.46571,66.467155,Training
2001-05-15,66.83,66.46727,Training
2001-05-16,67.29714,67.181274,Training
2001-05-17,67.81572,67.734825,Training
2001-05-18,68.30857,68.2277,Training
2001-05-19,68.76143,68.66993,Training
2001-05-20,69.20572,68.8349,Training
2001-05-21,69.48286,69.05396,Training
2001-05-22,69.66428,69.25714,Training
2001-05-23,69.71715,69.28747,Training
2001-05-24,69.737144,69.41851,Training
2001-05-25,69.75714,69.53483,Training
2001-05-26,69.774284,69.58331,Training
