,saltfront_obs,saltfront_pred,train/val
2001-01-01,,68.5642,Training
2001-01-02,,68.23525,Training
2001-01-03,,67.67737,Training
2001-01-04,,67.53451,Training
2001-01-05,,68.2735,Training
2001-01-06,,69.5438,Training
2001-01-07,,70.37606,Training
2001-01-08,,71.20141,Training
2001-01-09,,71.77476,Training
2001-01-10,,72.565254,Training
2001-01-11,,72.73378,Training
2001-01-12,,73.10247,Training
2001-01-13,,73.71383,Training
2001-01-14,,74.61804,Training
2001-01-15,,75.13313,Training
2001-01-16,,75.3109,Training
2001-01-17,,75.4619,Training
2001-01-18,,75.31999,Training
2001-01-19,,74.71474,Training
2001-01-20,,74.37638,Training
2001-01-21,,74.483315,Training
2001-01-22,,74.67756,Training
2001-01-23,,74.35805,Training
2001-01-24,,73.91996,Training
2001-01-25,,74.11225,Training
2001-01-26,,74.658424,Training
2001-01-27,,74.84683,Training
2001-01-28,,75.54086,Training
2001-01-29,,75.79532,Training
2001-01-30,,75.8193,Training
2001-01-31,,76.22626,Training
2001-02-01,,75.949745,Training
2001-02-02,,75.76303,Training
2001-02-03,,76.33103,Training
2001-02-04,,76.352036,Training
2001-02-05,,76.07349,Training
2001-02-06,,76.00319,Training
2001-02-07,,76.23817,Training
2001-02-08,,75.42137,Training
2001-02-09,,74.31498,Training
2001-02-10,,73.35985,Training
2001-02-11,,72.528465,Training
2001-02-12,,71.36334,Training
2001-02-13,,70.48632,Training
2001-02-14,,69.99673,Training
2001-02-15,,69.683815,Training
2001-02-16,,69.6459,Training
2001-02-17,,70.53668,Training
2001-02-18,,70.10213,Training
2001-02-19,,69.68609,Training
2001-02-20,,69.255104,Training
2001-02-21,,69.42293,Training
2001-02-22,,69.74921,Training
2001-02-23,,70.65268,Training
2001-02-24,,70.24276,Training
2001-02-25,,70.07496,Training
2001-02-26,,70.04007,Training
2001-02-27,,69.88496,Training
2001-02-28,,69.87747,Training
2001-03-01,,69.9941,Training
2001-03-02,,69.670784,Training
2001-03-03,,69.37121,Training
2001-03-04,,70.09151,Training
2001-03-05,,70.760956,Training
2001-03-06,,71.40685,Training
2001-03-07,,71.32725,Training
2001-03-08,,71.13945,Training
2001-03-09,,71.27559,Training
2001-03-10,,71.73592,Training
2001-03-11,,71.65343,Training
2001-03-12,,71.41993,Training
2001-03-13,,71.55381,Training
2001-03-14,,70.92989,Training
2001-03-15,,70.75153,Training
2001-03-16,,70.2567,Training
2001-03-17,,69.77744,Training
2001-03-18,,69.79718,Training
2001-03-19,,68.84129,Training
2001-03-20,,68.23074,Training
2001-03-21,,68.75303,Training
2001-03-22,,69.273834,Training
2001-03-23,,69.07659,Training
2001-03-24,,68.364235,Training
2001-03-25,,67.090614,Training
2001-03-26,,65.77936,Training
2001-03-27,,65.061714,Training
2001-03-28,,63.672913,Training
2001-03-29,,63.374893,Training
2001-03-30,,64.074326,Training
2001-03-31,,62.976974,Training
2001-04-01,,61.8376,Training
2001-04-02,,60.953194,Training
2001-04-03,60.65286,60.03999,Training
2001-04-04,58.81143,60.006195,Training
2001-04-05,56.611427,59.550575,Training
2001-04-06,,59.540096,Training
2001-04-07,,59.946556,Training
2001-04-08,,59.821545,Training
2001-04-09,,59.42721,Training
2001-04-10,,59.184303,Training
2001-04-11,,58.900566,Training
2001-04-12,,58.479706,Training
2001-04-13,,57.888012,Training
2001-04-14,,57.07511,Training
2001-04-15,,56.629868,Training
2001-04-16,,57.07775,Training
2001-04-17,,56.47523,Training
2001-04-18,,57.344067,Training
2001-04-19,,58.143,Training
2001-04-20,54.507145,59.701057,Training
2001-04-21,58.89286,60.20986,Training
2001-04-22,62.855717,61.453426,Training
2001-04-23,64.41572,60.879745,Training
2001-04-24,65.44429,61.889145,Training
2001-04-25,65.50429,61.17502,Training
2001-04-26,65.30286,61.668285,Training
2001-04-27,65.23286,62.068398,Training
2001-04-28,65.11143,62.406136,Training
2001-04-29,65.01572,62.01175,Training
2001-04-30,65.16143,61.483677,Training
2001-05-01,65.14429,61.03225,Training
2001-05-02,65.24571,62.031067,Training
2001-05-03,65.19143,62.393917,Training
2001-05-04,65.03429,63.11531,Training
2001-05-05,64.994286,64.06473,Training
2001-05-06,65.13286,64.614876,Training
2001-05-07,65.274284,65.60974,Training
2001-05-08,65.44429,65.656235,Training
2001-05-09,65.56286,65.23403,Training
2001-05-10,65.74857,65.06302,Training
2001-05-11,65.96429,65.1904,Training
2001-05-12,66.19,65.40952,Training
2001-05-13,66.27286,65.74712,Training
2001-05-14,66.46571,66.066444,Training
2001-05-15,66.83,66.10707,Training
2001-05-16,67.29714,67.045395,Training
2001-05-17,67.81572,67.829155,Training
2001-05-18,68.30857,68.13928,Training
2001-05-19,68.76143,68.29994,Training
2001-05-20,69.20572,69.23821,Training
2001-05-21,69.48286,69.71217,Training
2001-05-22,69.66428,69.96158,Training
2001-05-23,69.71715,70.15381,Training
2001-05-24,69.737144,70.28327,Training
2001-05-25,69.75714,70.35173,Training
2001-05-26,69.774284,70.343056,Training
2001-05-27,69.63572,70.03066,Training
2001-05-28,69.46,69.83051,Training
2001-05-29,69.26143,69.508804,Training
2001-05-30,69.07,69.11886,Training
2001-05-31,68.807144,68.7136,Training
2001-06-01,68.55,68.54218,Training
2001-06-02,68.26429,68.366844,Training
2001-06-03,68.07143,68.143364,Training
2001-06-04,67.814285,67.900406,Training
2001-06-05,67.57429,67.641426,Training
2001-06-06,67.31143,67.40339,Training
2001-06-07,67.115715,67.01747,Training
2001-06-08,66.93429,66.83143,Training
2001-06-09,66.82,66.63649,Training
2001-06-10,66.78571,66.55905,Training
2001-06-11,66.865715,66.75676,Training
2001-06-12,66.92715,66.77095,Training
2001-06-13,67.094284,67.10514,Training
2001-06-14,67.258575,67.32314,Training
2001-06-15,67.41143,67.244225,Training
2001-06-16,67.58,67.52969,Training
2001-06-17,67.468575,67.63169,Training
2001-06-18,67.28143,67.50536,Training
2001-06-19,67.14,67.44279,Training
2001-06-20,66.86286,67.11892,Training
2001-06-21,66.512856,67.01177,Training
2001-06-22,66.26714,66.99208,Training
2001-06-23,66.01857,66.73069,Training
2001-06-24,65.84286,66.229836,Training
2001-06-25,65.70857,65.84197,Training
2001-06-26,65.557144,65.25501,Training
2001-06-27,65.435715,64.42865,Training
2001-06-28,65.33429,63.67847,Training
2001-06-29,65.25143,64.04853,Training
2001-06-30,65.207146,63.8397,Training
2001-07-01,65.27286,64.06201,Training
2001-07-02,65.30857,64.42699,Training
2001-07-03,65.54143,64.8272,Training
2001-07-04,65.79429,65.169365,Training
2001-07-05,66.08429,65.60748,Training
2001-07-06,66.277145,66.06624,Training
2001-07-07,66.46,66.53121,Training
2001-07-08,66.700005,66.71152,Training
2001-07-09,66.93286,67.29802,Training
2001-07-10,67.038574,67.65681,Training
2001-07-11,67.16572,67.79027,Training
2001-07-12,67.36286,67.88069,Training
2001-07-13,67.615715,67.837,Training
2001-07-14,67.88572,67.68732,Training
2001-07-15,68.21715,67.842384,Training
2001-07-16,68.60429,68.183495,Training
2001-07-17,68.935715,68.65229,Training
2001-07-18,69.262856,69.23688,Training
2001-07-19,69.538574,69.7781,Training
2001-07-20,69.788574,70.18329,Training
2001-07-21,69.94714,70.3583,Training
2001-07-22,70.04858,70.38277,Training
2001-07-23,70.13143,70.327,Training
2001-07-24,70.23286,70.210205,Training
2001-07-25,70.307144,70.02139,Training
2001-07-26,70.328575,70.205315,Training
2001-07-27,70.38143,70.04063,Training
2001-07-28,70.457146,70.0811,Training
2001-07-29,70.54286,70.25193,Training
2001-07-30,70.667145,70.59346,Training
2001-07-31,70.82714,70.786865,Training
2001-08-01,71.02143,70.72799,Training
2001-08-02,71.26429,70.684746,Training
